,net_return
2010-12-28,-0.0012439144359054502
2010-12-29,0.005954917379616263
2010-12-30,-0.00041433694599891246
2010-12-31,0.002583628540080225
2011-01-03,0.007766980593178111
2011-01-04,-0.006543809748486813
2011-01-05,-0.0007535467945555122
2011-01-06,-0.00270522284619975
2011-01-07,-0.0011207643204649
2011-01-10,0.00109717525522985
2011-01-11,0.0021571955008195497
2011-01-12,0.0055377618473141
2011-01-13,-0.0005492512863591878
2011-01-14,0.0012901894182391375
2011-01-18,0.0015862843804566376
2011-01-19,-0.007463286037468375
2011-01-20,-0.008375194548666214
2011-01-21,-0.0017292161097695123
2011-01-24,0.004410779120252075
2011-01-25,0.0026901720342140875
2011-01-26,0.002819823769886625
2011-01-27,0.0006184520064742003
2011-01-28,-0.0115194376511598
2011-01-31,0.0036818319380721373
2011-02-01,0.010565483630748251
2011-02-02,-0.0023945700681223
2011-02-03,0.0014468307618813625
2011-02-04,-0.0018427309342963624
2011-02-07,0.004783349845082501
2011-02-08,0.0026327804934333753
2011-02-09,-0.002050249957735663
2011-02-10,-0.0022105001204401997
2011-02-11,0.007298351410766888
2011-02-14,0.0013857285484073752
2011-02-15,0.0002888287069896624
2011-02-16,0.0034830090554296873
2011-02-17,0.0030678446752261373
2011-02-18,0.0015042846067333
2011-02-22,-0.011593433448579637
2011-02-23,-0.003506357759851525
2011-02-24,0.0007126257555043373
2011-02-25,0.011969788223402313
2011-02-28,0.0057225763440743255
2011-03-01,-0.009227999160098269
2011-03-02,-0.0006992539404666126
2011-03-03,0.008226100009348473
2011-03-04,-0.0005547776106984499
2011-03-07,-0.0082072515904114
2011-03-08,0.005776524794538488
2011-03-09,0.00047780282778053763
2011-03-10,-0.012132422306964739
2011-03-11,0.004094917719876899
2011-03-14,-0.0017404845571216126
2011-03-15,-0.007607942697549106
2011-03-16,-0.008961434437357425
2011-03-17,0.005176218277614301
2011-03-18,0.004979408968392125
2011-03-21,0.010457766984151663
2011-03-22,-0.0011827449518849124
2011-03-23,0.00261186663272485
2011-03-24,0.0038539938494636496
2011-03-25,0.0021552505566719378
2011-03-28,-0.0024773507449749503
2011-03-29,0.0032698471544080625
2011-03-30,0.008280870319933136
2011-03-31,0.0029350395984066497
2011-04-01,0.003924141512810113
2011-04-04,0.0019386826492947874
2011-04-05,0.0017343392261275252
2011-04-06,-0.0002860702391548126
2011-04-07,-0.00299322772011985
2011-04-08,-0.002855730133567812
2011-04-11,-0.004079568583806012
2011-04-12,-0.005164359954764263
2011-04-13,0.0033039116694545427
2011-04-14,0.003893100510103037
2011-04-15,0.006724857987564813
2011-04-18,-0.00746444184179575
2011-04-19,0.0050901729097784
2011-04-20,0.011136036482454486
2011-04-21,0.004695690675168963
2011-04-25,0.0005401657507988628
2011-04-26,0.006548154833345638
2011-04-27,0.0040433214685411
2011-04-28,0.003281954693875125
2011-04-29,0.003397818848333688
2011-05-02,-0.0028148556299410375
2011-05-03,-0.006309534889770737
2011-05-04,-0.0065211745357169875
2011-05-05,-0.005720584352844676
2011-05-06,0.0031584142155498124
2011-05-09,0.0050418322398494255
2011-05-10,0.006480817415995637
2011-05-11,-0.008916428011961651
2011-05-12,0.0019581256241075003
2011-05-13,-0.00763626992692295
2011-05-16,-0.003983836300226463
2011-05-17,0.0011924215072041376
2011-05-18,0.0060296543608592615
2011-05-19,0.0008530884727406375
2011-05-20,-0.003857709681152412
2011-05-23,-0.008682201803042064
2011-05-24,0.0014071792026136127
2011-05-25,0.0024708369136385686
2011-05-26,0.007540634698836275
2011-05-27,0.005317617923767413
2011-05-31,0.009287049648591594
2011-06-01,-0.013055012591422237
2011-06-02,-0.0035311848105764377
2011-06-03,-0.003525940331365475
2011-06-06,-0.009250231927421665
2011-06-07,0.0032381322573568124
2011-06-08,-0.0035345156934835
2011-06-09,0.0012427472828674623
2011-06-10,-0.011917742769103387
2011-06-13,-0.0016890684527520125
2011-06-14,0.008028397702867339
2011-06-15,-0.008306369491894176
2011-06-16,0.0003125119963831252
2011-06-17,0.0016271907587138
2011-06-20,0.004001940287650875
2011-06-21,0.010302045471989225
2011-06-22,-0.0038148288000751252
2011-06-23,-0.0023731746874683626
2011-06-24,-0.006712448847728189
2011-06-27,0.0034539708814267504
2011-06-28,0.006679355647803112
2011-06-29,0.004302862105155087
2011-06-30,0.0044091038375244
2011-07-01,0.008109564368161626
2011-07-05,0.0047590230217968
2011-07-06,0.0031354634025393627
2011-07-07,0.007996779557025364
2011-07-08,-9.899710283461244e-05
2011-07-11,-0.009602403096465987
2011-07-12,-0.0015475459298234376
2011-07-13,0.004604360829605
2011-07-14,-0.009084701852748338
2011-07-15,0.0063827568487781
2011-07-18,-0.006658549750861563
2011-07-19,0.013059776219389814
2011-07-20,-0.0002239811115106873
2011-07-21,0.004553364047952612
2011-07-22,0.004552507061033225
2011-07-25,-0.0048635090857102005
2011-07-26,0.0013385827649594253
2011-07-27,-0.016239487536506364
2011-07-28,0.0007193924109806125
